notice_name,document_number,document_date,organization,url,match_reason
宅地造成及び特定盛土等規制法の施行に当たっての留意事項について（技術的助言）,国官参宅第12号クニカンサンタクダイゴウ,2023-05-26,国土交通省都市局 　都市安全課,https://www.mlit.go.jp/notice/noticedata/pdf/20230627/20230620toshi.pdf,strong_accept: 宅地造成 / strong_accept: 盛土
安全上、防火上及び避難上の危険の度並びに衛生上及び市街地の環境の保全上の有害の度に著しい変更を及ぼさない変更を定める件,国土交通省告示第千四百三十八号,2016-12-26,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201704/00006678.pdf,priority_accept_org: 建築指導課
ガス有害性試験不要材料を定める件,国土交通省告示第七百八十五号,2016-05-30,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006599.pdf,priority_accept_org: 建築指導課
一定の規模以上の空間及び高い開放性を有する通路その他の部分の構造方法を定める件,国土交通省告示第七百八十六号,2016-05-30,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006600.pdf,priority_accept_org: 建築指導課
防火設備の定期検査報告における検査及び定期点検における点検の項目、事項、方法及び結果の判定基準並びに検査結果表を定める件,国土交通省告示第七百二十三号,2016-05-02,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006598.pdf,priority_accept_org: 建築指導課
登録特定建築物調査員講習、登録建築設備検査員講習、登録防火設備検査員講習及び登録昇降機等検査員講習に用いる教材の内容として国土交通大臣が定める事項を定める件,国土交通省告示第七百一号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006596.pdf,priority_accept_org: 建築指導課
建築基準法施行規則の規定により建築に関する知識及び経験を有する者として国土交通大臣が定める者を指定する件,国土交通省告示第七百号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006595.pdf,priority_accept_org: 建築指導課
建築基準法施行規則の規定により講義を受講した者と同等以上の知識を有する者として国土交通大臣が定める者及び国土交通大臣が定める科目を定める件,国土交通省告示第七百二号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006597.pdf,priority_accept_org: 建築指導課
床組及び小屋ばり組に木板その他これに類するものを打ち付ける基準を定める件,国土交通省告示第六百九十一号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006586.pdf,priority_accept_org: 建築指導課
建築設備についての検査等と併せて検査等を一体的に行うことが合理的である防火設備を定める件,国土交通省告示第六百九十九号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006594.pdf,priority_accept_org: 建築指導課
通常の火災時において相互に火熱又は煙若しくはガスによる防火上有害な影響を及ぼさない構造方法を定める件,国土交通省告示第六百九十五号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006590.pdf,priority_accept_org: 建築指導課
柱と基礎とを接合する構造方法等を定める件,国土交通省告示第六百九十号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006585.pdf,priority_accept_org: 建築指導課
不燃性の物品を保管する倉庫に類する用途等を定める件,国土交通省告示第六百九十三号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006588.pdf,priority_accept_org: 建築指導課
強化天井の構造方法を定める件,国土交通省告示第六百九十四号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006589.pdf,priority_accept_org: 建築指導課
非常用エレベーターの昇降路又は乗降ロビーの構造方法を定める件,国土交通省告示第六百九十七号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006592.pdf,priority_accept_org: 建築指導課
内装の仕上げを不燃材料ですることその他これに準ずる措置の基準等を定める件,国土交通省告示第六百九十二号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006587.pdf,priority_accept_org: 建築指導課
申請に係る建築物が認定型式に適合する建築物の部分を有するものであることを確認するために必要な図書及び書類を定める件,国土交通省告示第六百九十八号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006593.pdf,priority_accept_org: 建築指導課
特別避難階段の階段室又は付室の構造方法を定める件,国土交通省告示第六百九十六号,2016-04-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006591.pdf,priority_accept_org: 建築指導課
